# Common TCP ports used for scanning
# Format: port_number,service_name,description

21,FTP,File Transfer Protocol
22,SSH,Secure Shell
23,Telnet,Telnet
25,SMTP,Simple Mail Transfer Protocol
53,DNS,Domain Name System
80,HTTP,Hypertext Transfer Protocol
110,POP3,Post Office Protocol v3
143,IMAP,Internet Message Access Protocol
443,HTTPS,HTTP Secure
445,SMB,Server Message Block
465,SMTPS,SMTP Secure
587,SMTP,SMTP (submission)
993,IMAPS,IMAP Secure
995,POP3S,POP3 Secure
1433,MSSQL,Microsoft SQL Server
1521,Oracle,Oracle Database
3306,MySQL,MySQL Database
3389,RDP,Remote Desktop Protocol
5432,PostgreSQL,PostgreSQL Database
5900,VNC,Virtual Network Computing
6379,Redis,Redis Database
8000,HTTP-Alt,HTTP Alternate
8080,HTTP-Proxy,HTTP Proxy
8443,HTTPS-Alt,HTTPS Alternate
8888,HTTP-Alt,HTTP Alternate (common dev)
9000,HTTP-Alt,HTTP Alternate
27017,MongoDB,MongoDB Database
5000,Flask,Flask Development Server
5001,Docker,Docker Registry
5984,CouchDB,CouchDB Database
7000,Cassandra,Cassandra Database
9042,Cassandra,Cassandra Native Protocol
11211,Memcached,Memcached
50000,SAP,SAP Management Console
